#vpair_t0, override_cs0, override_ct, override_cf
-2.734375000000000000e+02 1.914062500000000000e+02 -5.078125000000000000e+01 -1.171875000000000000e+01
-3.984375000000000000e+02 3.906250000000000000e+00 -2.382812500000000000e+02 -1.992187500000000000e+02
-1.484375000000000000e+02 1.289062500000000000e+02 -1.132812500000000000e+02 -7.421875000000000000e+01
-2.109375000000000000e+02 3.515625000000000000e+01 -1.953125000000000000e+01 -1.054687500000000000e+02
-4.609375000000000000e+02 1.601562500000000000e+02 -1.445312500000000000e+02 -2.304687500000000000e+02
-3.359375000000000000e+02 9.765625000000000000e+01 -8.203125000000000000e+01 -4.296875000000000000e+01
-8.593750000000000000e+01 2.226562500000000000e+02 -2.070312500000000000e+02 -1.679687500000000000e+02
-1.171875000000000000e+02 1.953125000000000000e+01 -6.640625000000000000e+01 -2.460937500000000000e+02
-3.671875000000000000e+02 1.445312500000000000e+02 -1.914062500000000000e+02 -1.210937500000000000e+02
-4.921875000000000000e+02 8.203125000000000000e+01 -3.906250000000000000e+00 -1.835937500000000000e+02
-2.421875000000000000e+02 2.070312500000000000e+02 -1.289062500000000000e+02 -5.859375000000000000e+01
-1.796875000000000000e+02 1.132812500000000000e+02 -2.226562500000000000e+02 -2.734375000000000000e+01
-4.296875000000000000e+02 2.382812500000000000e+02 -9.765625000000000000e+01 -1.523437500000000000e+02
-3.046875000000000000e+02 5.078125000000000000e+01 -1.601562500000000000e+02 -8.984375000000000000e+01
-5.468750000000000000e+01 1.757812500000000000e+02 -3.515625000000000000e+01 -2.148437500000000000e+02
-3.906250000000000000e+01 5.859375000000000000e+01 -1.992187500000000000e+02 -3.515625000000000000e+01
-2.890625000000000000e+02 1.835937500000000000e+02 -7.421875000000000000e+01 -1.601562500000000000e+02
-4.140625000000000000e+02 1.210937500000000000e+02 -1.367187500000000000e+02 -9.765625000000000000e+01
-1.640625000000000000e+02 2.460937500000000000e+02 -1.171875000000000000e+01 -2.226562500000000000e+02
-2.265625000000000000e+02 8.984375000000000000e+01 -1.054687500000000000e+02 -1.914062500000000000e+02
-4.765625000000000000e+02 2.148437500000000000e+02 -2.304687500000000000e+02 -6.640625000000000000e+01
-3.515625000000000000e+02 2.734375000000000000e+01 -4.296875000000000000e+01 -1.289062500000000000e+02
-1.015625000000000000e+02 1.523437500000000000e+02 -1.679687500000000000e+02 -3.906250000000000000e+00
-7.031250000000000000e+01 1.054687500000000000e+02 -5.859375000000000000e+01 -8.203125000000000000e+01
-3.203125000000000000e+02 2.304687500000000000e+02 -1.835937500000000000e+02 -2.070312500000000000e+02
-4.453125000000000000e+02 4.296875000000000000e+01 -1.210937500000000000e+02 -1.953125000000000000e+01
-1.953125000000000000e+02 1.679687500000000000e+02 -2.460937500000000000e+02 -1.445312500000000000e+02
-1.328125000000000000e+02 1.171875000000000000e+01 -1.523437500000000000e+02 -1.757812500000000000e+02
-3.828125000000000000e+02 1.367187500000000000e+02 -2.734375000000000000e+01 -5.078125000000000000e+01
-2.578125000000000000e+02 7.421875000000000000e+01 -2.148437500000000000e+02 -2.382812500000000000e+02
-7.812500000000000000e+00 1.992187500000000000e+02 -8.984375000000000000e+01 -1.132812500000000000e+02
-1.171875000000000000e+01 9.960937500000000000e+01 -2.050781250000000000e+02 -2.089843750000000000e+02
-2.617187500000000000e+02 2.246093750000000000e+02 -8.007812500000000000e+01 -8.398437500000000000e+01
-3.867187500000000000e+02 3.710937500000000000e+01 -1.425781250000000000e+02 -1.464843750000000000e+02
-1.367187500000000000e+02 1.621093750000000000e+02 -1.757812500000000000e+01 -2.148437500000000000e+01
-1.992187500000000000e+02 5.859375000000000000e+00 -1.113281250000000000e+02 -5.273437500000000000e+01
-4.492187500000000000e+02 1.308593750000000000e+02 -2.363281250000000000e+02 -1.777343750000000000e+02
-3.242187500000000000e+02 6.835937500000000000e+01 -4.882812500000000000e+01 -1.152343750000000000e+02
-7.421875000000000000e+01 1.933593750000000000e+02 -1.738281250000000000e+02 -2.402343750000000000e+02
-1.054687500000000000e+02 5.273437500000000000e+01 -3.320312500000000000e+01 -1.621093750000000000e+02
-3.554687500000000000e+02 1.777343750000000000e+02 -1.582031250000000000e+02 -3.710937500000000000e+01
-4.804687500000000000e+02 1.152343750000000000e+02 -9.570312500000000000e+01 -2.246093750000000000e+02
-2.304687500000000000e+02 2.402343750000000000e+02 -2.207031250000000000e+02 -9.960937500000000000e+01
-1.679687500000000000e+02 8.398437500000000000e+01 -1.269531250000000000e+02 -6.835937500000000000e+01
-4.179687500000000000e+02 2.089843750000000000e+02 -1.953125000000000000e+00 -1.933593750000000000e+02
-2.929687500000000000e+02 2.148437500000000000e+01 -1.894531250000000000e+02 -5.859375000000000000e+00
-4.296875000000000000e+01 1.464843750000000000e+02 -6.445312500000000000e+01 -1.308593750000000000e+02
-5.859375000000000000e+01 2.929687500000000000e+01 -1.660156250000000000e+02 -1.230468750000000000e+02
-3.085937500000000000e+02 1.542968750000000000e+02 -4.101562500000000000e+01 -2.480468750000000000e+02
-4.335937500000000000e+02 9.179687500000000000e+01 -2.285156250000000000e+02 -6.054687500000000000e+01
-1.835937500000000000e+02 2.167968750000000000e+02 -1.035156250000000000e+02 -1.855468750000000000e+02
-2.460937500000000000e+02 1.230468750000000000e+02 -9.765625000000000000e+00 -1.542968750000000000e+02
-4.960937500000000000e+02 2.480468750000000000e+02 -1.347656250000000000e+02 -2.929687500000000000e+01
-3.710937500000000000e+02 6.054687500000000000e+01 -7.226562500000000000e+01 -2.167968750000000000e+02
-1.210937500000000000e+02 1.855468750000000000e+02 -1.972656250000000000e+02 -9.179687500000000000e+01
-8.984375000000000000e+01 7.617187500000000000e+01 -8.789062500000000000e+01 -1.367187500000000000e+01
-3.398437500000000000e+02 2.011718750000000000e+02 -2.128906250000000000e+02 -1.386718750000000000e+02
-4.648437500000000000e+02 1.367187500000000000e+01 -2.539062500000000000e+01 -7.617187500000000000e+01
-2.148437500000000000e+02 1.386718750000000000e+02 -1.503906250000000000e+02 -2.011718750000000000e+02
-1.523437500000000000e+02 4.492187500000000000e+01 -2.441406250000000000e+02 -2.324218750000000000e+02
-4.023437500000000000e+02 1.699218750000000000e+02 -1.191406250000000000e+02 -1.074218750000000000e+02
-2.773437500000000000e+02 1.074218750000000000e+02 -1.816406250000000000e+02 -1.699218750000000000e+02
-2.734375000000000000e+01 2.324218750000000000e+02 -5.664062500000000000e+01 -4.492187500000000000e+01
-1.953125000000000000e+01 3.320312500000000000e+01 -9.960937500000000000e+01 -8.789062500000000000e+01
-2.695312500000000000e+02 1.582031250000000000e+02 -2.246093750000000000e+02 -2.128906250000000000e+02
-3.945312500000000000e+02 9.570312500000000000e+01 -3.710937500000000000e+01 -2.539062500000000000e+01
-1.445312500000000000e+02 2.207031250000000000e+02 -1.621093750000000000e+02 -1.503906250000000000e+02
-2.070312500000000000e+02 6.445312500000000000e+01 -1.933593750000000000e+02 -1.816406250000000000e+02
-4.570312500000000000e+02 1.894531250000000000e+02 -6.835937500000000000e+01 -5.664062500000000000e+01
-3.320312500000000000e+02 1.953125000000000000e+00 -1.308593750000000000e+02 -2.441406250000000000e+02
-8.203125000000000000e+01 1.269531250000000000e+02 -5.859375000000000000e+00 -1.191406250000000000e+02
-1.132812500000000000e+02 1.113281250000000000e+02 -1.464843750000000000e+02 -4.101562500000000000e+01
-3.632812500000000000e+02 2.363281250000000000e+02 -2.148437500000000000e+01 -1.660156250000000000e+02
-4.882812500000000000e+02 4.882812500000000000e+01 -2.089843750000000000e+02 -1.035156250000000000e+02
-2.382812500000000000e+02 1.738281250000000000e+02 -8.398437500000000000e+01 -2.285156250000000000e+02
-1.757812500000000000e+02 1.757812500000000000e+01 -5.273437500000000000e+01 -1.972656250000000000e+02
-4.257812500000000000e+02 1.425781250000000000e+02 -1.777343750000000000e+02 -7.226562500000000000e+01
-3.007812500000000000e+02 8.007812500000000000e+01 -1.152343750000000000e+02 -1.347656250000000000e+02
-5.078125000000000000e+01 2.050781250000000000e+02 -2.402343750000000000e+02 -9.765625000000000000e+00
-3.515625000000000000e+01 8.789062500000000000e+01 -2.929687500000000000e+01 -2.363281250000000000e+02
-2.851562500000000000e+02 2.128906250000000000e+02 -1.542968750000000000e+02 -1.113281250000000000e+02
-4.101562500000000000e+02 2.539062500000000000e+01 -9.179687500000000000e+01 -1.738281250000000000e+02
-1.601562500000000000e+02 1.503906250000000000e+02 -2.167968750000000000e+02 -4.882812500000000000e+01
-2.226562500000000000e+02 5.664062500000000000e+01 -1.855468750000000000e+02 -1.757812500000000000e+01
-4.726562500000000000e+02 1.816406250000000000e+02 -6.054687500000000000e+01 -1.425781250000000000e+02
-3.476562500000000000e+02 1.191406250000000000e+02 -2.480468750000000000e+02 -8.007812500000000000e+01
-9.765625000000000000e+01 2.441406250000000000e+02 -1.230468750000000000e+02 -2.050781250000000000e+02
-6.640625000000000000e+01 9.765625000000000000e+00 -2.324218750000000000e+02 -1.269531250000000000e+02
-3.164062500000000000e+02 1.347656250000000000e+02 -1.074218750000000000e+02 -1.953125000000000000e+00
-4.414062500000000000e+02 7.226562500000000000e+01 -1.699218750000000000e+02 -1.894531250000000000e+02
-1.914062500000000000e+02 1.972656250000000000e+02 -4.492187500000000000e+01 -6.445312500000000000e+01
-1.289062500000000000e+02 1.035156250000000000e+02 -7.617187500000000000e+01 -9.570312500000000000e+01
-3.789062500000000000e+02 2.285156250000000000e+02 -2.011718750000000000e+02 -2.207031250000000000e+02
-2.539062500000000000e+02 4.101562500000000000e+01 -1.367187500000000000e+01 -3.320312500000000000e+01
-3.906250000000000000e+00 1.660156250000000000e+02 -1.386718750000000000e+02 -1.582031250000000000e+02
-5.859375000000000000e+00 8.300781250000000000e+01 -7.324218750000000000e+01 -4.785156250000000000e+01
-2.558593750000000000e+02 2.080078125000000000e+02 -1.982421875000000000e+02 -1.728515625000000000e+02
-3.808593750000000000e+02 2.050781250000000000e+01 -1.074218750000000000e+01 -1.103515625000000000e+02
-1.308593750000000000e+02 1.455078125000000000e+02 -1.357421875000000000e+02 -2.353515625000000000e+02
-1.933593750000000000e+02 5.175781250000000000e+01 -2.294921875000000000e+02 -2.041015625000000000e+02
-4.433593750000000000e+02 1.767578125000000000e+02 -1.044921875000000000e+02 -7.910156250000000000e+01
-3.183593750000000000e+02 1.142578125000000000e+02 -1.669921875000000000e+02 -1.416015625000000000e+02
-6.835937500000000000e+01 2.392578125000000000e+02 -4.199218750000000000e+01 -1.660156250000000000e+01
-9.960937500000000000e+01 4.882812500000000000e+00 -1.826171875000000000e+02 -6.347656250000000000e+01
-3.496093750000000000e+02 1.298828125000000000e+02 -5.761718750000000000e+01 -1.884765625000000000e+02
-4.746093750000000000e+02 6.738281250000000000e+01 -2.451171875000000000e+02 -9.765625000000000000e-01
-2.246093750000000000e+02 1.923828125000000000e+02 -1.201171875000000000e+02 -1.259765625000000000e+02
-1.621093750000000000e+02 9.863281250000000000e+01 -2.636718750000000000e+01 -1.572265625000000000e+02
-4.121093750000000000e+02 2.236328125000000000e+02 -1.513671875000000000e+02 -3.222656250000000000e+01
-2.871093750000000000e+02 3.613281250000000000e+01 -8.886718750000000000e+01 -2.197265625000000000e+02
-3.710937500000000000e+01 1.611328125000000000e+02 -2.138671875000000000e+02 -9.472656250000000000e+01
-5.273437500000000000e+01 4.394531250000000000e+01 -4.980468750000000000e+01 -1.494140625000000000e+02
-3.027343750000000000e+02 1.689453125000000000e+02 -1.748046875000000000e+02 -2.441406250000000000e+01
-4.277343750000000000e+02 1.064453125000000000e+02 -1.123046875000000000e+02 -2.119140625000000000e+02
-1.777343750000000000e+02 2.314453125000000000e+02 -2.373046875000000000e+02 -8.691406250000000000e+01
-2.402343750000000000e+02 7.519531250000000000e+01 -1.435546875000000000e+02 -1.181640625000000000e+02
-4.902343750000000000e+02 2.001953125000000000e+02 -1.855468750000000000e+01 -2.431640625000000000e+02
-3.652343750000000000e+02 1.269531250000000000e+01 -2.060546875000000000e+02 -5.566406250000000000e+01
-1.152343750000000000e+02 1.376953125000000000e+02 -8.105468750000000000e+01 -1.806640625000000000e+02
-8.398437500000000000e+01 1.220703125000000000e+02 -1.904296875000000000e+02 -2.275390625000000000e+02
-3.339843750000000000e+02 2.470703125000000000e+02 -6.542968750000000000e+01 -1.025390625000000000e+02
-4.589843750000000000e+02 5.957031250000000000e+01 -1.279296875000000000e+02 -1.650390625000000000e+02
-2.089843750000000000e+02 1.845703125000000000e+02 -2.929687500000000000e+00 -4.003906250000000000e+01
-1.464843750000000000e+02 2.832031250000000000e+01 -9.667968750000000000e+01 -8.789062500000000000e+00
-3.964843750000000000e+02 1.533203125000000000e+02 -2.216796875000000000e+02 -1.337890625000000000e+02
-2.714843750000000000e+02 9.082031250000000000e+01 -3.417968750000000000e+01 -7.128906250000000000e+01
-2.148437500000000000e+01 2.158203125000000000e+02 -1.591796875000000000e+02 -1.962890625000000000e+02
-2.929687500000000000e+01 1.660156250000000000e+01 -2.490234375000000000e+02 -1.845703125000000000e+02
-2.792968750000000000e+02 1.416015625000000000e+02 -1.240234375000000000e+02 -5.957031250000000000e+01
-4.042968750000000000e+02 7.910156250000000000e+01 -1.865234375000000000e+02 -2.470703125000000000e+02
-1.542968750000000000e+02 2.041015625000000000e+02 -6.152343750000000000e+01 -1.220703125000000000e+02
-2.167968750000000000e+02 1.103515625000000000e+02 -9.277343750000000000e+01 -9.082031250000000000e+01
-4.667968750000000000e+02 2.353515625000000000e+02 -2.177734375000000000e+02 -2.158203125000000000e+02
-3.417968750000000000e+02 4.785156250000000000e+01 -3.027343750000000000e+01 -2.832031250000000000e+01
-9.179687500000000000e+01 1.728515625000000000e+02 -1.552734375000000000e+02 -1.533203125000000000e+02
-1.230468750000000000e+02 6.347656250000000000e+01 -1.464843750000000000e+01 -2.001953125000000000e+02
-3.730468750000000000e+02 1.884765625000000000e+02 -1.396484375000000000e+02 -7.519531250000000000e+01
-4.980468750000000000e+02 9.765625000000000000e-01 -7.714843750000000000e+01 -1.376953125000000000e+02
-2.480468750000000000e+02 1.259765625000000000e+02 -2.021484375000000000e+02 -1.269531250000000000e+01
-1.855468750000000000e+02 3.222656250000000000e+01 -1.708984375000000000e+02 -4.394531250000000000e+01
-4.355468750000000000e+02 1.572265625000000000e+02 -4.589843750000000000e+01 -1.689453125000000000e+02
-3.105468750000000000e+02 9.472656250000000000e+01 -2.333984375000000000e+02 -1.064453125000000000e+02
-6.054687500000000000e+01 2.197265625000000000e+02 -1.083984375000000000e+02 -2.314453125000000000e+02
-4.492187500000000000e+01 1.025390625000000000e+02 -1.318359375000000000e+02 -2.050781250000000000e+01
-2.949218750000000000e+02 2.275390625000000000e+02 -6.835937500000000000e+00 -1.455078125000000000e+02
-4.199218750000000000e+02 4.003906250000000000e+01 -1.943359375000000000e+02 -8.300781250000000000e+01
-1.699218750000000000e+02 1.650390625000000000e+02 -6.933593750000000000e+01 -2.080078125000000000e+02
-2.324218750000000000e+02 8.789062500000000000e+00 -3.808593750000000000e+01 -2.392578125000000000e+02
-4.824218750000000000e+02 1.337890625000000000e+02 -1.630859375000000000e+02 -1.142578125000000000e+02
-3.574218750000000000e+02 7.128906250000000000e+01 -1.005859375000000000e+02 -1.767578125000000000e+02
-1.074218750000000000e+02 1.962890625000000000e+02 -2.255859375000000000e+02 -5.175781250000000000e+01
-7.617187500000000000e+01 5.566406250000000000e+01 -1.162109375000000000e+02 -9.863281250000000000e+01
-3.261718750000000000e+02 1.806640625000000000e+02 -2.412109375000000000e+02 -2.236328125000000000e+02
-4.511718750000000000e+02 1.181640625000000000e+02 -5.371093750000000000e+01 -3.613281250000000000e+01
-2.011718750000000000e+02 2.431640625000000000e+02 -1.787109375000000000e+02 -1.611328125000000000e+02
-1.386718750000000000e+02 8.691406250000000000e+01 -2.099609375000000000e+02 -1.298828125000000000e+02
-3.886718750000000000e+02 2.119140625000000000e+02 -8.496093750000000000e+01 -4.882812500000000000e+00
-2.636718750000000000e+02 2.441406250000000000e+01 -1.474609375000000000e+02 -1.923828125000000000e+02
-1.367187500000000000e+01 1.494140625000000000e+02 -2.246093750000000000e+01 -6.738281250000000000e+01
-9.765625000000000000e+00 4.980468750000000000e+01 -1.494140625000000000e+02 -2.255859375000000000e+02
-2.597656250000000000e+02 1.748046875000000000e+02 -2.441406250000000000e+01 -1.005859375000000000e+02
-3.847656250000000000e+02 1.123046875000000000e+02 -2.119140625000000000e+02 -1.630859375000000000e+02
-1.347656250000000000e+02 2.373046875000000000e+02 -8.691406250000000000e+01 -3.808593750000000000e+01
-1.972656250000000000e+02 8.105468750000000000e+01 -5.566406250000000000e+01 -6.835937500000000000e+00
-4.472656250000000000e+02 2.060546875000000000e+02 -1.806640625000000000e+02 -1.318359375000000000e+02
-3.222656250000000000e+02 1.855468750000000000e+01 -1.181640625000000000e+02 -6.933593750000000000e+01
-7.226562500000000000e+01 1.435546875000000000e+02 -2.431640625000000000e+02 -1.943359375000000000e+02
-1.035156250000000000e+02 9.667968750000000000e+01 -1.025390625000000000e+02 -1.474609375000000000e+02
-3.535156250000000000e+02 2.216796875000000000e+02 -2.275390625000000000e+02 -2.246093750000000000e+01
-4.785156250000000000e+02 3.417968750000000000e+01 -4.003906250000000000e+01 -2.099609375000000000e+02
-2.285156250000000000e+02 1.591796875000000000e+02 -1.650390625000000000e+02 -8.496093750000000000e+01
-1.660156250000000000e+02 2.929687500000000000e+00 -1.962890625000000000e+02 -1.162109375000000000e+02
-4.160156250000000000e+02 1.279296875000000000e+02 -7.128906250000000000e+01 -2.412109375000000000e+02
-2.910156250000000000e+02 6.542968750000000000e+01 -1.337890625000000000e+02 -5.371093750000000000e+01
-4.101562500000000000e+01 1.904296875000000000e+02 -8.789062500000000000e+00 -1.787109375000000000e+02
-5.664062500000000000e+01 7.324218750000000000e+01 -2.197265625000000000e+02 -7.714843750000000000e+01
-3.066406250000000000e+02 1.982421875000000000e+02 -9.472656250000000000e+01 -2.021484375000000000e+02
-4.316406250000000000e+02 1.074218750000000000e+01 -1.572265625000000000e+02 -1.464843750000000000e+01
-1.816406250000000000e+02 1.357421875000000000e+02 -3.222656250000000000e+01 -1.396484375000000000e+02
-2.441406250000000000e+02 4.199218750000000000e+01 -6.347656250000000000e+01 -1.708984375000000000e+02
-4.941406250000000000e+02 1.669921875000000000e+02 -1.884765625000000000e+02 -4.589843750000000000e+01
-3.691406250000000000e+02 1.044921875000000000e+02 -9.765625000000000000e-01 -2.333984375000000000e+02
-1.191406250000000000e+02 2.294921875000000000e+02 -1.259765625000000000e+02 -1.083984375000000000e+02
-8.789062500000000000e+01 2.636718750000000000e+01 -1.660156250000000000e+01 -6.152343750000000000e+01
-3.378906250000000000e+02 1.513671875000000000e+02 -1.416015625000000000e+02 -1.865234375000000000e+02
-4.628906250000000000e+02 8.886718750000000000e+01 -7.910156250000000000e+01 -1.240234375000000000e+02
-2.128906250000000000e+02 2.138671875000000000e+02 -2.041015625000000000e+02 -2.490234375000000000e+02
-1.503906250000000000e+02 1.201171875000000000e+02 -1.728515625000000000e+02 -2.177734375000000000e+02
-4.003906250000000000e+02 2.451171875000000000e+02 -4.785156250000000000e+01 -9.277343750000000000e+01
-2.753906250000000000e+02 5.761718750000000000e+01 -2.353515625000000000e+02 -1.552734375000000000e+02
-2.539062500000000000e+01 1.826171875000000000e+02 -1.103515625000000000e+02 -3.027343750000000000e+01
-1.757812500000000000e+01 1.162109375000000000e+02 -4.394531250000000000e+01 -1.044921875000000000e+02
-2.675781250000000000e+02 2.412109375000000000e+02 -1.689453125000000000e+02 -2.294921875000000000e+02
-3.925781250000000000e+02 5.371093750000000000e+01 -1.064453125000000000e+02 -4.199218750000000000e+01
-1.425781250000000000e+02 1.787109375000000000e+02 -2.314453125000000000e+02 -1.669921875000000000e+02
-2.050781250000000000e+02 2.246093750000000000e+01 -1.376953125000000000e+02 -1.357421875000000000e+02
-4.550781250000000000e+02 1.474609375000000000e+02 -1.269531250000000000e+01 -1.074218750000000000e+01
-3.300781250000000000e+02 8.496093750000000000e+01 -2.001953125000000000e+02 -1.982421875000000000e+02
-8.007812500000000000e+01 2.099609375000000000e+02 -7.519531250000000000e+01 -7.324218750000000000e+01
-1.113281250000000000e+02 3.808593750000000000e+01 -2.158203125000000000e+02 -2.636718750000000000e+01
-3.613281250000000000e+02 1.630859375000000000e+02 -9.082031250000000000e+01 -1.513671875000000000e+02
-4.863281250000000000e+02 1.005859375000000000e+02 -1.533203125000000000e+02 -8.886718750000000000e+01
-2.363281250000000000e+02 2.255859375000000000e+02 -2.832031250000000000e+01 -2.138671875000000000e+02
-1.738281250000000000e+02 6.933593750000000000e+01 -1.220703125000000000e+02 -2.451171875000000000e+02
-4.238281250000000000e+02 1.943359375000000000e+02 -2.470703125000000000e+02 -1.201171875000000000e+02
-2.988281250000000000e+02 6.835937500000000000e+00 -5.957031250000000000e+01 -1.826171875000000000e+02
-4.882812500000000000e+01 1.318359375000000000e+02 -1.845703125000000000e+02 -5.761718750000000000e+01
-3.320312500000000000e+01 1.464843750000000000e+01 -8.300781250000000000e+01 -1.904296875000000000e+02
-2.832031250000000000e+02 1.396484375000000000e+02 -2.080078125000000000e+02 -6.542968750000000000e+01
-4.082031250000000000e+02 7.714843750000000000e+01 -2.050781250000000000e+01 -1.279296875000000000e+02
-1.582031250000000000e+02 2.021484375000000000e+02 -1.455078125000000000e+02 -2.929687500000000000e+00
-2.207031250000000000e+02 1.083984375000000000e+02 -2.392578125000000000e+02 -3.417968750000000000e+01
-4.707031250000000000e+02 2.333984375000000000e+02 -1.142578125000000000e+02 -1.591796875000000000e+02
-3.457031250000000000e+02 4.589843750000000000e+01 -1.767578125000000000e+02 -9.667968750000000000e+01
-9.570312500000000000e+01 1.708984375000000000e+02 -5.175781250000000000e+01 -2.216796875000000000e+02
-6.445312500000000000e+01 9.277343750000000000e+01 -1.611328125000000000e+02 -1.748046875000000000e+02
-3.144531250000000000e+02 2.177734375000000000e+02 -3.613281250000000000e+01 -4.980468750000000000e+01
-4.394531250000000000e+02 3.027343750000000000e+01 -2.236328125000000000e+02 -2.373046875000000000e+02
-1.894531250000000000e+02 1.552734375000000000e+02 -9.863281250000000000e+01 -1.123046875000000000e+02
-1.269531250000000000e+02 6.152343750000000000e+01 -4.882812500000000000e+00 -8.105468750000000000e+01
-3.769531250000000000e+02 1.865234375000000000e+02 -1.298828125000000000e+02 -2.060546875000000000e+02
-2.519531250000000000e+02 1.240234375000000000e+02 -6.738281250000000000e+01 -1.855468750000000000e+01
-1.953125000000000000e+00 2.490234375000000000e+02 -1.923828125000000000e+02 -1.435546875000000000e+02
-2.929687500000000000e+00 1.245117187500000000e+02 -1.694335937500000000e+02 -7.373046875000000000e+01
-2.529296875000000000e+02 2.495117187500000000e+02 -4.443359375000000000e+01 -1.987304687500000000e+02
-3.779296875000000000e+02 6.201171875000000000e+01 -2.319335937500000000e+02 -1.123046875000000000e+01
-1.279296875000000000e+02 1.870117187500000000e+02 -1.069335937500000000e+02 -1.362304687500000000e+02
-1.904296875000000000e+02 3.076171875000000000e+01 -1.318359375000000000e+01 -1.674804687500000000e+02
-4.404296875000000000e+02 1.557617187500000000e+02 -1.381835937500000000e+02 -4.248046875000000000e+01
-3.154296875000000000e+02 9.326171875000000000e+01 -7.568359375000000000e+01 -2.299804687500000000e+02
-6.542968750000000000e+01 2.182617187500000000e+02 -2.006835937500000000e+02 -1.049804687500000000e+02
-9.667968750000000000e+01 4.638671875000000000e+01 -9.130859375000000000e+01 -5.810546875000000000e+01
-3.466796875000000000e+02 1.713867187500000000e+02 -2.163085937500000000e+02 -1.831054687500000000e+02
-4.716796875000000000e+02 1.088867187500000000e+02 -2.880859375000000000e+01 -1.206054687500000000e+02
-2.216796875000000000e+02 2.338867187500000000e+02 -1.538085937500000000e+02 -2.456054687500000000e+02
-1.591796875000000000e+02 7.763671875000000000e+01 -2.475585937500000000e+02 -2.143554687500000000e+02
-4.091796875000000000e+02 2.026367187500000000e+02 -1.225585937500000000e+02 -8.935546875000000000e+01
-2.841796875000000000e+02 1.513671875000000000e+01 -1.850585937500000000e+02 -1.518554687500000000e+02
-3.417968750000000000e+01 1.401367187500000000e+02 -6.005859375000000000e+01 -2.685546875000000000e+01
-4.980468750000000000e+01 7.324218750000000000e+00 -2.084960937500000000e+02 -2.221679687500000000e+02
